
Epoch 0, 25%	 Loss : 9.0498e-04	 RES : 3.3792e-05	 MSE : 4.6059e-04	 REL : 1.0435e+00
Epoch 86, 50%	 Loss : 5.0177e-05	 RES : 1.2819e-07	 MSE : 3.9060e-05	 REL : 3.0662e-01
Epoch 86, 75%	 Loss : 5.7322e-05	 RES : 1.8935e-07	 MSE : 4.1299e-05	 REL : 2.9794e-01
Training Epoch 86 :	 Loss : 5.2690e-05 	 RES : 1.9276e-07	 MSE : 5.9433e-05	 REL : 3.6147e-01
Validation Epoch 86 :	 Loss : 5.2222e-05	 RES : 1.6551e-07	 MSE : 5.2409e-05	 REL : 3.4531e-01
Training Epoch 86 finished,took current epoch 189.09s,cumulative time 16340.45s
Learning Rate : 0.01
Epoch 87, 25%	 Loss : 5.1950e-05	 RES : 1.9447e-07	 MSE : 3.9914e-05	 REL : 3.0719e-01
Epoch 87, 50%	 Loss : 4.9895e-05	 RES : 1.3817e-07	 MSE : 3.7181e-05	 REL : 2.9915e-01
Epoch 87, 75%	 Loss : 5.7387e-05	 RES : 1.6182e-07	 MSE : 3.9794e-05	 REL : 2.9246e-01
Training Epoch 87 :	 Loss : 5.2797e-05 	 RES : 1.9954e-07	 MSE : 6.0527e-05	 REL : 3.6262e-01
Validation Epoch 87 :	 Loss : 5.3529e-05	 RES : 1.8857e-07	 MSE : 4.8620e-05	 REL : 3.3215e-01
Training Epoch 87 finished,took current epoch 188.93s,cumulative time 16529.26s
Learning Rate : 0.01
Epoch 88, 25%	 Loss : 5.5142e-05	 RES : 3.2386e-07	 MSE : 8.8369e-05	 REL : 4.5707e-01
Epoch 88, 50%	 Loss : 4.9838e-05	 RES : 1.2921e-07	 MSE : 3.6523e-05	 REL : 2.9649e-01
Epoch 88, 75%	 Loss : 5.7275e-05	 RES : 1.8237e-07	 MSE : 3.8345e-05	 REL : 2.8708e-01
Training Epoch 88 :	 Loss : 5.2624e-05 	 RES : 1.9170e-07	 MSE : 5.6852e-05	 REL : 3.5281e-01
Validation Epoch 88 :	 Loss : 5.2140e-05	 RES : 1.5447e-07	 MSE : 5.7920e-05	 REL : 3.6308e-01
Training Epoch 88 finished,took current epoch 188.41s,cumulative time 16717.55s
Learning Rate : 0.01
Epoch 89, 25%	 Loss : 5.0234e-05	 RES : 1.3898e-07	 MSE : 4.2263e-05	 REL : 3.1609e-01
Epoch 89, 50%	 Loss : 5.0445e-05	 RES : 1.5331e-07	 MSE : 3.7731e-05	 REL : 3.0136e-01
Epoch 89, 75%	 Loss : 5.8110e-05	 RES : 1.8371e-07	 MSE : 4.4652e-05	 REL : 3.0979e-01
Training Epoch 89 :	 Loss : 5.2516e-05 	 RES : 1.8597e-07	 MSE : 5.8472e-05	 REL : 3.5822e-01
Validation Epoch 89 :	 Loss : 5.1398e-05	 RES : 1.3413e-07	 MSE : 4.1110e-05	 REL : 3.0531e-01
Training Epoch 89 finished,took current epoch 187.60s,cumulative time 16905.04s
Learning Rate : 0.01
Epoch 90, 25%	 Loss : 5.1268e-05	 RES : 1.9553e-07	 MSE : 7.7017e-05	 REL : 4.2671e-01
Epoch 90, 50%	 Loss : 5.0573e-05	 RES : 1.5419e-07	 MSE : 3.9254e-05	 REL : 3.0738e-01
Epoch 90, 75%	 Loss : 5.7922e-05	 RES : 1.8933e-07	 MSE : 4.2205e-05	 REL : 3.0119e-01
Training Epoch 90 :	 Loss : 5.2556e-05 	 RES : 1.8702e-07	 MSE : 5.8208e-05	 REL : 3.5648e-01
Validation Epoch 90 :	 Loss : 5.1869e-05	 RES : 1.7880e-07	 MSE : 3.7744e-05	 REL : 2.9273e-01
Training Epoch 90 finished,took current epoch 187.69s,cumulative time 17092.62s
Learning Rate : 0.01
Epoch 91, 25%	 Loss : 5.1376e-05	 RES : 1.9245e-07	 MSE : 3.9702e-05	 REL : 3.0637e-01
Epoch 91, 50%	 Loss : 5.0686e-05	 RES : 2.1722e-07	 MSE : 3.3072e-05	 REL : 2.8214e-01
Epoch 91, 75%	 Loss : 5.7219e-05	 RES : 1.7056e-07	 MSE : 4.7094e-05	 REL : 3.1815e-01
Training Epoch 91 :	 Loss : 5.2520e-05 	 RES : 1.8599e-07	 MSE : 5.6334e-05	 REL : 3.5225e-01
Validation Epoch 91 :	 Loss : 5.1544e-05	 RES : 1.2567e-07	 MSE : 3.9461e-05	 REL : 2.9938e-01
Training Epoch 91 finished,took current epoch 190.04s,cumulative time 17282.27s
MODEL SAVED
Learning Rate : 0.01
Epoch 92, 25%	 Loss : 5.0815e-05	 RES : 1.2703e-07	 MSE : 3.6741e-05	 REL : 2.9472e-01
Epoch 92, 50%	 Loss : 4.9733e-05	 RES : 1.3377e-07	 MSE : 3.4664e-05	 REL : 2.8885e-01
Epoch 92, 75%	 Loss : 5.7577e-05	 RES : 2.2802e-07	 MSE : 5.3934e-05	 REL : 3.4047e-01
Training Epoch 92 :	 Loss : 5.2577e-05 	 RES : 1.8897e-07	 MSE : 5.7741e-05	 REL : 3.5476e-01
Validation Epoch 92 :	 Loss : 5.2516e-05	 RES : 2.1876e-07	 MSE : 5.7839e-05	 REL : 3.6285e-01
Training Epoch 92 finished,took current epoch 189.77s,cumulative time 17471.87s
Learning Rate : 0.01
Epoch 93, 25%	 Loss : 5.0336e-05	 RES : 1.4201e-07	 MSE : 4.6363e-05	 REL : 3.3107e-01
Epoch 93, 50%	 Loss : 4.9738e-05	 RES : 1.2925e-07	 MSE : 3.7540e-05	 REL : 3.0059e-01
Epoch 93, 75%	 Loss : 5.7819e-05	 RES : 1.7216e-07	 MSE : 4.3021e-05	 REL : 3.0408e-01
Training Epoch 93 :	 Loss : 5.2588e-05 	 RES : 1.8724e-07	 MSE : 5.7412e-05	 REL : 3.5358e-01
Validation Epoch 93 :	 Loss : 5.2808e-05	 RES : 2.1536e-07	 MSE : 5.3890e-05	 REL : 3.5012e-01
Training Epoch 93 finished,took current epoch 189.23s,cumulative time 17660.92s
Learning Rate : 0.01
Epoch 94, 25%	 Loss : 4.9647e-05	 RES : 1.0716e-07	 MSE : 3.2485e-05	 REL : 2.7713e-01
Epoch 94, 50%	 Loss : 4.9350e-05	 RES : 1.1432e-07	 MSE : 3.4718e-05	 REL : 2.8907e-01
Epoch 94, 75%	 Loss : 5.6616e-05	 RES : 1.3712e-07	 MSE : 3.6003e-05	 REL : 2.7818e-01
Training Epoch 94 :	 Loss : 5.1231e-05 	 RES : 1.1894e-07	 MSE : 3.6604e-05	 REL : 2.8774e-01
Validation Epoch 94 :	 Loss : 5.0908e-05	 RES : 1.1341e-07	 MSE : 3.5489e-05	 REL : 2.8378e-01
Training Epoch 94 finished,took current epoch 190.00s,cumulative time 17850.69s
MODEL SAVED
Learning Rate : 0.001
Epoch 95, 25%	 Loss : 4.9620e-05	 RES : 1.0482e-07	 MSE : 3.1485e-05	 REL : 2.7283e-01
Epoch 95, 50%	 Loss : 4.9343e-05	 RES : 1.1323e-07	 MSE : 3.4082e-05	 REL : 2.8642e-01
Epoch 95, 75%	 Loss : 5.6593e-05	 RES : 1.3585e-07	 MSE : 3.5738e-05	 REL : 2.7715e-01
Training Epoch 95 :	 Loss : 5.1158e-05 	 RES : 1.1454e-07	 MSE : 3.5453e-05	 REL : 2.8334e-01
Validation Epoch 95 :	 Loss : 5.0897e-05	 RES : 1.1269e-07	 MSE : 3.5233e-05	 REL : 2.8274e-01
Training Epoch 95 finished,took current epoch 190.49s,cumulative time 18041.02s
MODEL SAVED
Learning Rate : 0.001
Epoch 96, 25%	 Loss : 4.9613e-05	 RES : 1.0444e-07	 MSE : 3.1260e-05	 REL : 2.7185e-01
Epoch 96, 50%	 Loss : 4.9338e-05	 RES : 1.1258e-07	 MSE : 3.3476e-05	 REL : 2.8386e-01
Epoch 96, 75%	 Loss : 5.6576e-05	 RES : 1.3488e-07	 MSE : 3.5569e-05	 REL : 2.7650e-01
Training Epoch 96 :	 Loss : 5.1148e-05 	 RES : 1.1396e-07	 MSE : 3.5200e-05	 REL : 2.8232e-01
Validation Epoch 96 :	 Loss : 5.0887e-05	 RES : 1.1220e-07	 MSE : 3.5014e-05	 REL : 2.8186e-01
Training Epoch 96 finished,took current epoch 189.11s,cumulative time 18229.95s
MODEL SAVED
Learning Rate : 0.001
Epoch 97, 25%	 Loss : 4.9606e-05	 RES : 1.0405e-07	 MSE : 3.1097e-05	 REL : 2.7114e-01
Epoch 97, 50%	 Loss : 4.9333e-05	 RES : 1.1212e-07	 MSE : 3.3101e-05	 REL : 2.8226e-01
Epoch 97, 75%	 Loss : 5.6559e-05	 RES : 1.3412e-07	 MSE : 3.5465e-05	 REL : 2.7609e-01
Training Epoch 97 :	 Loss : 5.1139e-05 	 RES : 1.1353e-07	 MSE : 3.5024e-05	 REL : 2.8161e-01
Validation Epoch 97 :	 Loss : 5.0879e-05	 RES : 1.1189e-07	 MSE : 3.4796e-05	 REL : 2.8096e-01
Training Epoch 97 finished,took current epoch 189.47s,cumulative time 18419.18s
MODEL SAVED
Learning Rate : 0.001
Epoch 98, 25%	 Loss : 4.9600e-05	 RES : 1.0364e-07	 MSE : 3.0893e-05	 REL : 2.7025e-01
Epoch 98, 50%	 Loss : 4.9326e-05	 RES : 1.1177e-07	 MSE : 3.2841e-05	 REL : 2.8115e-01
Epoch 98, 75%	 Loss : 5.6542e-05	 RES : 1.3346e-07	 MSE : 3.5324e-05	 REL : 2.7554e-01
Training Epoch 98 :	 Loss : 5.1130e-05 	 RES : 1.1315e-07	 MSE : 3.4845e-05	 REL : 2.8089e-01
Validation Epoch 98 :	 Loss : 5.0871e-05	 RES : 1.1151e-07	 MSE : 3.4484e-05	 REL : 2.7968e-01
Training Epoch 98 finished,took current epoch 187.41s,cumulative time 18606.39s
MODEL SAVED
Learning Rate : 0.001
Epoch 99, 25%	 Loss : 4.9597e-05	 RES : 1.0346e-07	 MSE : 3.0701e-05	 REL : 2.6941e-01
Epoch 99, 50%	 Loss : 4.9319e-05	 RES : 1.1151e-07	 MSE : 3.2751e-05	 REL : 2.8076e-01
Epoch 99, 75%	 Loss : 5.6528e-05	 RES : 1.3298e-07	 MSE : 3.5136e-05	 REL : 2.7481e-01
Training Epoch 99 :	 Loss : 5.1122e-05 	 RES : 1.1283e-07	 MSE : 3.4700e-05	 REL : 2.8030e-01
Validation Epoch 99 :	 Loss : 5.0860e-05	 RES : 1.1103e-07	 MSE : 3.4092e-05	 REL : 2.7810e-01
Training Epoch 99 finished,took current epoch 188.04s,cumulative time 18794.27s
MODEL SAVED
Learning Rate : 0.001
Epoch 100, 25%	 Loss : 4.9588e-05	 RES : 1.0297e-07	 MSE : 3.0544e-05	 REL : 2.6872e-01
Epoch 100, 50%	 Loss : 4.9312e-05	 RES : 1.1126e-07	 MSE : 3.2614e-05	 REL : 2.8018e-01
Epoch 100, 75%	 Loss : 5.6515e-05	 RES : 1.3251e-07	 MSE : 3.4950e-05	 REL : 2.7408e-01
Training Epoch 100 :	 Loss : 5.1114e-05 	 RES : 1.1252e-07	 MSE : 3.4558e-05	 REL : 2.7972e-01
Validation Epoch 100 :	 Loss : 5.0852e-05	 RES : 1.1072e-07	 MSE : 3.3820e-05	 REL : 2.7700e-01
Training Epoch 100 finished,took current epoch 189.27s,cumulative time 18983.19s
MODEL SAVED
Learning Rate : 0.001
Epoch 101, 25%	 Loss : 4.9580e-05	 RES : 1.0264e-07	 MSE : 3.0320e-05	 REL : 2.6773e-01
Epoch 101, 50%	 Loss : 4.9308e-05	 RES : 1.1104e-07	 MSE : 3.2470e-05	 REL : 2.7956e-01
Epoch 101, 75%	 Loss : 5.6507e-05	 RES : 1.3248e-07	 MSE : 3.4893e-05	 REL : 2.7386e-01
Training Epoch 101 :	 Loss : 5.1107e-05 	 RES : 1.1222e-07	 MSE : 3.4434e-05	 REL : 2.7922e-01
Validation Epoch 101 :	 Loss : 5.0846e-05	 RES : 1.1058e-07	 MSE : 3.3609e-05	 REL : 2.7614e-01
Training Epoch 101 finished,took current epoch 187.02s,cumulative time 19170.05s
MODEL SAVED
Learning Rate : 0.001
Epoch 102, 25%	 Loss : 4.9576e-05	 RES : 1.0253e-07	 MSE : 3.0001e-05	 REL : 2.6632e-01
Epoch 102, 50%	 Loss : 4.9308e-05	 RES : 1.1109e-07	 MSE : 3.2611e-05	 REL : 2.8017e-01
Epoch 102, 75%	 Loss : 5.6496e-05	 RES : 1.3237e-07	 MSE : 3.4709e-05	 REL : 2.7313e-01
Training Epoch 102 :	 Loss : 5.1100e-05 	 RES : 1.1193e-07	 MSE : 3.4304e-05	 REL : 2.7869e-01
Validation Epoch 102 :	 Loss : 5.0844e-05	 RES : 1.1075e-07	 MSE : 3.3518e-05	 REL : 2.7578e-01
Training Epoch 102 finished,took current epoch 188.70s,cumulative time 19358.67s
Learning Rate : 0.001
Epoch 103, 25%	 Loss : 4.9568e-05	 RES : 1.0225e-07	 MSE : 2.9848e-05	 REL : 2.6564e-01
Epoch 103, 50%	 Loss : 4.9302e-05	 RES : 1.1069e-07	 MSE : 3.2290e-05	 REL : 2.7878e-01
Epoch 103, 75%	 Loss : 5.6480e-05	 RES : 1.3190e-07	 MSE : 3.4344e-05	 REL : 2.7169e-01
Training Epoch 103 :	 Loss : 5.1092e-05 	 RES : 1.1161e-07	 MSE : 3.4134e-05	 REL : 2.7800e-01
Validation Epoch 103 :	 Loss : 5.0836e-05	 RES : 1.1069e-07	 MSE : 3.3674e-05	 REL : 2.7644e-01
Training Epoch 103 finished,took current epoch 188.22s,cumulative time 19546.76s
Learning Rate : 0.001
Epoch 104, 25%	 Loss : 4.9568e-05	 RES : 1.0243e-07	 MSE : 2.9940e-05	 REL : 2.6605e-01
Epoch 104, 50%	 Loss : 4.9308e-05	 RES : 1.1128e-07	 MSE : 3.2908e-05	 REL : 2.8144e-01
Epoch 104, 75%	 Loss : 5.6472e-05	 RES : 1.3204e-07	 MSE : 3.4372e-05	 REL : 2.7180e-01
Training Epoch 104 :	 Loss : 5.1084e-05 	 RES : 1.1129e-07	 MSE : 3.3969e-05	 REL : 2.7734e-01
Validation Epoch 104 :	 Loss : 5.0820e-05	 RES : 1.0963e-07	 MSE : 3.3405e-05	 REL : 2.7529e-01
Training Epoch 104 finished,took current epoch 187.98s,cumulative time 19734.53s
MODEL SAVED
Learning Rate : 0.001
Epoch 105, 25%	 Loss : 4.9563e-05	 RES : 1.0233e-07	 MSE : 2.9831e-05	 REL : 2.6556e-01
Epoch 105, 50%	 Loss : 4.9303e-05	 RES : 1.1082e-07	 MSE : 3.2706e-05	 REL : 2.8057e-01
Epoch 105, 75%	 Loss : 5.6467e-05	 RES : 1.3226e-07	 MSE : 3.4638e-05	 REL : 2.7285e-01
Training Epoch 105 :	 Loss : 5.1077e-05 	 RES : 1.1103e-07	 MSE : 3.3860e-05	 REL : 2.7689e-01
Validation Epoch 105 :	 Loss : 5.0814e-05	 RES : 1.0948e-07	 MSE : 3.3462e-05	 REL : 2.7550e-01
Training Epoch 105 finished,took current epoch 187.13s,cumulative time 19921.45s
MODEL SAVED
Learning Rate : 0.001
Epoch 106, 25%	 Loss : 4.9553e-05	 RES : 1.0179e-07	 MSE : 2.9680e-05	 REL : 2.6489e-01
Epoch 106, 50%	 Loss : 4.9287e-05	 RES : 1.0986e-07	 MSE : 3.1883e-05	 REL : 2.7702e-01
Epoch 106, 75%	 Loss : 5.6456e-05	 RES : 1.3186e-07	 MSE : 3.4707e-05	 REL : 2.7312e-01
Training Epoch 106 :	 Loss : 5.1069e-05 	 RES : 1.1075e-07	 MSE : 3.3735e-05	 REL : 2.7637e-01
Validation Epoch 106 :	 Loss : 5.0811e-05	 RES : 1.0964e-07	 MSE : 3.3787e-05	 REL : 2.7682e-01
Training Epoch 106 finished,took current epoch 189.28s,cumulative time 20110.44s
Learning Rate : 0.001
Epoch 107, 25%	 Loss : 4.9546e-05	 RES : 1.0133e-07	 MSE : 2.9395e-05	 REL : 2.6362e-01
Epoch 107, 50%	 Loss : 4.9291e-05	 RES : 1.1034e-07	 MSE : 3.2586e-05	 REL : 2.8006e-01
Epoch 107, 75%	 Loss : 5.6447e-05	 RES : 1.3110e-07	 MSE : 3.4701e-05	 REL : 2.7310e-01
Training Epoch 107 :	 Loss : 5.1062e-05 	 RES : 1.1048e-07	 MSE : 3.3648e-05	 REL : 2.7601e-01
Validation Epoch 107 :	 Loss : 5.0803e-05	 RES : 1.0923e-07	 MSE : 3.3584e-05	 REL : 2.7600e-01
Training Epoch 107 finished,took current epoch 187.32s,cumulative time 20297.47s
MODEL SAVED
Learning Rate : 0.001
Epoch 108, 25%	 Loss : 4.9547e-05	 RES : 1.0125e-07	 MSE : 2.9422e-05	 REL : 2.6374e-01
Epoch 108, 50%	 Loss : 4.9288e-05	 RES : 1.0997e-07	 MSE : 3.2621e-05	 REL : 2.8021e-01
Epoch 108, 75%	 Loss : 5.6427e-05	 RES : 1.2978e-07	 MSE : 3.4030e-05	 REL : 2.7045e-01
Training Epoch 108 :	 Loss : 5.1057e-05 	 RES : 1.1039e-07	 MSE : 3.3648e-05	 REL : 2.7599e-01
Validation Epoch 108 :	 Loss : 5.0794e-05	 RES : 1.0872e-07	 MSE : 3.3375e-05	 REL : 2.7514e-01
Training Epoch 108 finished,took current epoch 187.52s,cumulative time 20484.81s
MODEL SAVED
Learning Rate : 0.001
Epoch 109, 25%	 Loss : 4.9548e-05	 RES : 1.0182e-07	 MSE : 2.9649e-05	 REL : 2.6475e-01
Epoch 109, 50%	 Loss : 4.9276e-05	 RES : 1.0918e-07	 MSE : 3.2131e-05	 REL : 2.7810e-01
Epoch 109, 75%	 Loss : 5.6420e-05	 RES : 1.2941e-07	 MSE : 3.3833e-05	 REL : 2.6966e-01
Training Epoch 109 :	 Loss : 5.1049e-05 	 RES : 1.1013e-07	 MSE : 3.3478e-05	 REL : 2.7528e-01
Validation Epoch 109 :	 Loss : 5.0786e-05	 RES : 1.0803e-07	 MSE : 3.3273e-05	 REL : 2.7474e-01
Training Epoch 109 finished,took current epoch 188.31s,cumulative time 20672.91s
MODEL SAVED
Learning Rate : 0.001
Epoch 110, 25%	 Loss : 4.9543e-05	 RES : 1.0216e-07	 MSE : 2.9954e-05	 REL : 2.6611e-01
Epoch 110, 50%	 Loss : 4.9266e-05	 RES : 1.0890e-07	 MSE : 3.1583e-05	 REL : 2.7571e-01
Epoch 110, 75%	 Loss : 5.6418e-05	 RES : 1.2896e-07	 MSE : 3.4034e-05	 REL : 2.7046e-01
Training Epoch 110 :	 Loss : 5.1040e-05 	 RES : 1.0988e-07	 MSE : 3.3298e-05	 REL : 2.7455e-01
Validation Epoch 110 :	 Loss : 5.0785e-05	 RES : 1.0805e-07	 MSE : 3.3266e-05	 REL : 2.7471e-01
Training Epoch 110 finished,took current epoch 187.62s,cumulative time 20860.43s
Learning Rate : 0.001
Epoch 111, 25%	 Loss : 4.9542e-05	 RES : 1.0260e-07	 MSE : 3.0328e-05	 REL : 2.6777e-01
Epoch 111, 50%	 Loss : 4.9266e-05	 RES : 1.0913e-07	 MSE : 3.3058e-05	 REL : 2.8208e-01
Epoch 111, 75%	 Loss : 5.6419e-05	 RES : 1.2924e-07	 MSE : 3.4641e-05	 REL : 2.7286e-01
Training Epoch 111 :	 Loss : 5.1033e-05 	 RES : 1.0970e-07	 MSE : 3.3179e-05	 REL : 2.7408e-01
Validation Epoch 111 :	 Loss : 5.0787e-05	 RES : 1.0811e-07	 MSE : 3.3149e-05	 REL : 2.7422e-01
Training Epoch 111 finished,took current epoch 188.07s,cumulative time 21048.41s
Learning Rate : 0.001
Epoch 112, 25%	 Loss : 4.9532e-05	 RES : 1.0223e-07	 MSE : 3.0207e-05	 REL : 2.6723e-01
Epoch 112, 50%	 Loss : 4.9265e-05	 RES : 1.0952e-07	 MSE : 3.3688e-05	 REL : 2.8475e-01
Epoch 112, 75%	 Loss : 5.6405e-05	 RES : 1.2864e-07	 MSE : 3.4603e-05	 REL : 2.7271e-01
Training Epoch 112 :	 Loss : 5.1025e-05 	 RES : 1.0944e-07	 MSE : 3.3026e-05	 REL : 2.7341e-01
Validation Epoch 112 :	 Loss : 5.0786e-05	 RES : 1.0749e-07	 MSE : 3.3340e-05	 REL : 2.7507e-01
Training Epoch 112 finished,took current epoch 188.54s,cumulative time 21236.62s
MODEL SAVED
Learning Rate : 0.001
Epoch 113, 25%	 Loss : 4.9535e-05	 RES : 1.0328e-07	 MSE : 3.0819e-05	 REL : 2.6993e-01
Epoch 113, 50%	 Loss : 4.9246e-05	 RES : 1.0819e-07	 MSE : 3.2393e-05	 REL : 2.7923e-01
Epoch 113, 75%	 Loss : 5.6387e-05	 RES : 1.2813e-07	 MSE : 3.4385e-05	 REL : 2.7185e-01
Training Epoch 113 :	 Loss : 5.1018e-05 	 RES : 1.0931e-07	 MSE : 3.2956e-05	 REL : 2.7311e-01
Validation Epoch 113 :	 Loss : 5.0778e-05	 RES : 1.0723e-07	 MSE : 3.3125e-05	 REL : 2.7418e-01
Training Epoch 113 finished,took current epoch 188.24s,cumulative time 21424.72s
MODEL SAVED
Learning Rate : 0.001
Epoch 114, 25%	 Loss : 4.9508e-05	 RES : 1.0061e-07	 MSE : 2.9384e-05	 REL : 2.6357e-01
Epoch 114, 50%	 Loss : 4.9248e-05	 RES : 1.0865e-07	 MSE : 3.3140e-05	 REL : 2.8243e-01
Epoch 114, 75%	 Loss : 5.6362e-05	 RES : 1.2740e-07	 MSE : 3.3397e-05	 REL : 2.6792e-01
Training Epoch 114 :	 Loss : 5.1011e-05 	 RES : 1.0914e-07	 MSE : 3.2862e-05	 REL : 2.7272e-01
Validation Epoch 114 :	 Loss : 5.0772e-05	 RES : 1.0703e-07	 MSE : 3.3397e-05	 REL : 2.7533e-01
Training Epoch 114 finished,took current epoch 189.18s,cumulative time 21613.53s
MODEL SAVED
Learning Rate : 0.001
Epoch 115, 25%	 Loss : 4.9494e-05	 RES : 9.9346e-08	 MSE : 2.8533e-05	 REL : 2.5972e-01
Epoch 115, 50%	 Loss : 4.9232e-05	 RES : 1.0778e-07	 MSE : 3.1614e-05	 REL : 2.7585e-01
Epoch 115, 75%	 Loss : 5.6349e-05	 RES : 1.2724e-07	 MSE : 3.2864e-05	 REL : 2.6578e-01
Training Epoch 115 :	 Loss : 5.1003e-05 	 RES : 1.0889e-07	 MSE : 3.2735e-05	 REL : 2.7225e-01
Validation Epoch 115 :	 Loss : 5.0756e-05	 RES : 1.0676e-07	 MSE : 3.2673e-05	 REL : 2.7228e-01
Training Epoch 115 finished,took current epoch 189.11s,cumulative time 21802.43s
MODEL SAVED
Learning Rate : 0.001
Epoch 116, 25%	 Loss : 4.9491e-05	 RES : 9.9349e-08	 MSE : 2.8361e-05	 REL : 2.5894e-01
Epoch 116, 50%	 Loss : 4.9237e-05	 RES : 1.0856e-07	 MSE : 3.1158e-05	 REL : 2.7385e-01
Epoch 116, 75%	 Loss : 5.6344e-05	 RES : 1.2834e-07	 MSE : 3.2598e-05	 REL : 2.6470e-01
Training Epoch 116 :	 Loss : 5.0994e-05 	 RES : 1.0848e-07	 MSE : 3.2459e-05	 REL : 2.7108e-01
Validation Epoch 116 :	 Loss : 5.0746e-05	 RES : 1.0635e-07	 MSE : 3.2798e-05	 REL : 2.7283e-01
Training Epoch 116 finished,took current epoch 189.64s,cumulative time 21991.90s
MODEL SAVED
Learning Rate : 0.001
Epoch 117, 25%	 Loss : 4.9492e-05	 RES : 9.9577e-08	 MSE : 2.8101e-05	 REL : 2.5775e-01
Epoch 117, 50%	 Loss : 4.9235e-05	 RES : 1.0855e-07	 MSE : 3.1062e-05	 REL : 2.7343e-01
Epoch 117, 75%	 Loss : 5.6333e-05	 RES : 1.2727e-07	 MSE : 3.2298e-05	 REL : 2.6348e-01
Training Epoch 117 :	 Loss : 5.0988e-05 	 RES : 1.0841e-07	 MSE : 3.2408e-05	 REL : 2.7085e-01
Validation Epoch 117 :	 Loss : 5.0735e-05	 RES : 1.0611e-07	 MSE : 3.2478e-05	 REL : 2.7148e-01
Training Epoch 117 finished,took current epoch 187.99s,cumulative time 22179.63s
MODEL SAVED
Learning Rate : 0.001
Epoch 118, 25%	 Loss : 4.9490e-05	 RES : 9.9409e-08	 MSE : 2.7916e-05	 REL : 2.5690e-01
Epoch 118, 50%	 Loss : 4.9230e-05	 RES : 1.0765e-07	 MSE : 3.0863e-05	 REL : 2.7255e-01
Epoch 118, 75%	 Loss : 5.6326e-05	 RES : 1.2693e-07	 MSE : 3.2275e-05	 REL : 2.6338e-01
Training Epoch 118 :	 Loss : 5.0982e-05 	 RES : 1.0824e-07	 MSE : 3.2308e-05	 REL : 2.7041e-01
Validation Epoch 118 :	 Loss : 5.0727e-05	 RES : 1.0590e-07	 MSE : 3.2204e-05	 REL : 2.7032e-01
Training Epoch 118 finished,took current epoch 188.88s,cumulative time 22368.36s
MODEL SAVED
Learning Rate : 0.001
Epoch 119, 25%	 Loss : 4.9489e-05	 RES : 9.9607e-08	 MSE : 2.7868e-05	 REL : 2.5668e-01
Epoch 119, 50%	 Loss : 4.9225e-05	 RES : 1.0757e-07	 MSE : 3.0760e-05	 REL : 2.7210e-01
Epoch 119, 75%	 Loss : 5.6320e-05	 RES : 1.2706e-07	 MSE : 3.2103e-05	 REL : 2.6268e-01
Training Epoch 119 :	 Loss : 5.0977e-05 	 RES : 1.0818e-07	 MSE : 3.2277e-05	 REL : 2.7027e-01
Validation Epoch 119 :	 Loss : 5.0718e-05	 RES : 1.0591e-07	 MSE : 3.1996e-05	 REL : 2.6944e-01
Training Epoch 119 finished,took current epoch 189.25s,cumulative time 22557.51s
Learning Rate : 0.001
Epoch 120, 25%	 Loss : 4.9490e-05	 RES : 1.0032e-07	 MSE : 2.7819e-05	 REL : 2.5645e-01
Epoch 120, 50%	 Loss : 4.9216e-05	 RES : 1.0700e-07	 MSE : 3.0643e-05	 REL : 2.7158e-01
Epoch 120, 75%	 Loss : 5.6318e-05	 RES : 1.2681e-07	 MSE : 3.2036e-05	 REL : 2.6240e-01
Training Epoch 120 :	 Loss : 5.0970e-05 	 RES : 1.0800e-07	 MSE : 3.2177e-05	 REL : 2.6985e-01
Validation Epoch 120 :	 Loss : 5.0710e-05	 RES : 1.0580e-07	 MSE : 3.1829e-05	 REL : 2.6873e-01
Training Epoch 120 finished,took current epoch 188.66s,cumulative time 22745.93s
MODEL SAVED
Learning Rate : 0.001
Epoch 121, 25%	 Loss : 4.9486e-05	 RES : 1.0005e-07	 MSE : 2.7690e-05	 REL : 2.5586e-01
Epoch 121, 50%	 Loss : 4.9208e-05	 RES : 1.0668e-07	 MSE : 3.0646e-05	 REL : 2.7159e-01
Epoch 121, 75%	 Loss : 5.6307e-05	 RES : 1.2641e-07	 MSE : 3.1826e-05	 REL : 2.6154e-01
Training Epoch 121 :	 Loss : 5.0964e-05 	 RES : 1.0786e-07	 MSE : 3.2087e-05	 REL : 2.6947e-01
Validation Epoch 121 :	 Loss : 5.0706e-05	 RES : 1.0586e-07	 MSE : 3.1652e-05	 REL : 2.6797e-01
Training Epoch 121 finished,took current epoch 188.76s,cumulative time 22934.58s
Learning Rate : 0.001
Epoch 122, 25%	 Loss : 4.9487e-05	 RES : 1.0034e-07	 MSE : 2.7636e-05	 REL : 2.5561e-01
Epoch 122, 50%	 Loss : 4.9203e-05	 RES : 1.0629e-07	 MSE : 3.0521e-05	 REL : 2.7104e-01
Epoch 122, 75%	 Loss : 5.6291e-05	 RES : 1.2610e-07	 MSE : 3.1760e-05	 REL : 2.6127e-01
Training Epoch 122 :	 Loss : 5.0957e-05 	 RES : 1.0765e-07	 MSE : 3.2002e-05	 REL : 2.6911e-01
Validation Epoch 122 :	 Loss : 5.0701e-05	 RES : 1.0603e-07	 MSE : 3.1479e-05	 REL : 2.6723e-01
